year,decade,song,artist,weeks_at_no1_this_year,song_clean,artist_clean,danceability,energy,valence,tempo,acousticness,speechiness,instrumentalness,liveness,loudness
1958,1950,It's All In The Game,Tommy Edwards,6,it's all in the game,tommy edwards,0.384,0.276,0.654,105.181,0.038,0.0295,0.0,0.309,-13.527
1959,1950,Mack The Knife,Bobby Darin,9,mack the knife,bobby darin,0.549,0.529,0.464,82.75499999999998,0.76,0.108,0.0,0.2059999999999999,-12.291
1960,1960,"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,9,"the theme from ""a summer place""",percy faith and his orchestra,0.466,0.389,0.749,92.631,0.631,0.0253,0.8429999999999999,0.2949999999999999,-12.825
1961,1960,Tossin' And Turnin',Bobby Lewis,7,tossin' and turnin',bobby lewis,0.569,0.7219999999999999,0.965,142.736,0.225,0.0393,0.0,0.108,-8.913999999999998
1962,1960,I Can't Stop Loving You,Ray Charles,5,i can't stop loving you,ray charles,0.31,0.279,0.377,79.397,0.815,0.0308,0.0,0.318,-13.552
1963,1960,Sugar Shack,Jimmy Gilmer And The Fireballs,5,sugar shack,jimmy gilmer and the fireballs,0.792,0.804,0.879,132.852,0.225,0.0659,5e-06,0.065,-7.484
1964,1960,I Want To Hold Your Hand,The Beatles,7,i want to hold your hand,the beatles,0.49,0.7149999999999999,0.8659999999999999,130.726,0.386,0.0476,0.0,0.311,-5.549
1965,1960,Yesterday,The Beatles,4,yesterday,the beatles,0.332,0.1789999999999999,0.315,96.529,0.879,0.0326,0.0,0.0886,-11.83
1966,1960,The Ballad Of The Green Berets,SSgt Barry Sadler,5,the ballad of the green berets,ssgt barry sadler,,,,,,,,,
1967,1960,I'm A Believer,The Monkees,6,i'm a believer,the monkees,0.526,0.775,0.962,80.10599999999998,0.7069999999999999,0.0352,2.1e-05,0.217,-6.05
1968,1960,Hey Jude,The Beatles,9,hey jude,the beatles,0.386,0.6069999999999999,0.532,147.207,0.0112,0.0261,1.4e-05,0.0879999999999999,-7.7
1969,1960,Aquarius/Let The Sunshine In (The Flesh Failures),The 5th Dimension,6,aquarius/let the sunshine in (the flesh failures),the 5th dimension,,,,,,,,,
